x,y,color
-0.8480225,-0.8061829,0
-0.4543457,-0.7495728,0
-0.5811157,-0.5392761,0
-0.6916504,-0.6201172,0
-0.7131348,-0.8250732,0
-0.8317871,-0.5284729,0
-0.74823,-0.3343201,0
-0.5298462,-0.7172241,0
-0.6080322,-0.6821594,0
-0.3114014,-0.4044495,0
-0.6484985,-0.2939148,0
-0.4516602,-0.6902466,0
-0.3787842,-0.6255188,0
-0.416626,-0.4233093,0
-0.5298462,-0.3613281,0
0.163147,0.4448242,0
0.001281738,0.3693848,0
0.06335449,0.1886902,0
0.09301758,0.3828125,0
0.2843628,0.2749939,0
0.1361084,0.2507019,0
0.3841553,0.3504944,0
0.2924805,0.4718018,0
0.3383179,0.3531799,0
0.2546997,0.4044189,0
0.06060791,0.5850525,0
0.009399414,0.4718018,0
0.1199341,0.4934082,0
0.1334839,0.5931396,0
0.2439575,0.5338135,0
0.1495972,0.3477783,0
0.1846313,0.3504944,0
0.6322021,-0.2993164,0
0.5782471,-0.3100586,0
0.675415,-0.3666992,0
0.6160889,-0.3451538,0
0.6402588,-0.4098511,0
0.675415,-0.4286804,0
0.5890503,-0.380188,0
0.5567627,-0.4367981,0
0.6160889,-0.4556885,0
0.4703979,-0.3909912,0
0.4974365,-0.328949,0
0.5513306,-0.3828735,0
0.5513306,-0.47995,0
0.4596558,-0.4529724,0
0.5027466,-0.4610901,0
-0.4813232,0.8843079,0
-0.699707,0.8546448,0
-0.8884277,0.6632385,0
-0.7671509,0.6686096,0
-0.5595093,0.8843079,0
-0.5379028,0.9598083,0
-0.8048706,0.7630005,0
-0.7590332,0.7467957,0
-0.7078247,0.7575989,0
-0.7131348,0.7899475,0
-0.826416,0.8843079,0
-0.9154053,0.7333374,0
-0.8345337,0.8519592,0
-0.6889648,0.9571228,0
-0.8453369,0.9328613,0
-0.953186,0.865448,0
-0.9396362,0.6956177,0
-0.9342651,0.6174011,0
-0.8587646,0.6335754,0
-0.9342651,0.5634766,0
-0.9154053,0.5230713,0
-0.8560791,0.5607605,0
-0.9099731,-0.636322,1
-0.9666138,-0.5338745,1
-0.9018555,-0.3559265,1
-0.8857422,-0.2184143,1
-0.9396362,-0.08895874,1
-0.9692993,0.08358765,1
-0.953186,0.2722778,1
-0.8399048,0.1374817,1
-0.8102417,-0.04046631,1
-0.7374878,0.0161438,1
-0.7617188,0.280365,1
-0.8372192,0.3693848,1
-0.7455444,0.3181152,1
-0.6296387,0.07006836,1
-0.5352783,-0.01885986,1
-0.5541382,0.2641907,1
-0.621521,0.5014648,1
-0.7185669,0.4502258,1
-0.6376953,0.5796509,1
-0.5325317,0.5661621,1
-0.4651489,0.5068359,1
-0.4004517,0.2453308,1
-0.4354858,0.3909302,1
-0.4301147,0.431366,1
-0.4112549,0.5419312,1
-0.3842773,0.61203,1
-0.3761597,0.6578369,1
-0.3330688,0.5661621,1
-0.2709961,0.5553894,1
-0.2252197,0.6039124,1
-0.192749,0.6632385,1
-0.2036133,0.7926331,1
-0.1793823,0.9139709,1
-0.2737427,0.6956177,1
-0.2817383,0.5985107,1
-0.1362305,0.3882141,1
-0.1766357,0.3666382,1
-0.289856,0.4421387,1
-0.3464966,0.7387085,1
-0.3168335,0.9058838,1
0.001281738,0.8681641,1
-0.04449463,0.8870544,1
0.065979,0.8196106,1
0.2008667,0.8816223,1
0.2736206,0.9786682,1
0.3032837,0.9004822,1
0.3114014,0.8627625,1
0.3599243,0.8600464,1
0.4407349,0.5715942,1
0.5620728,0.6875,1
0.6483765,0.8465576,1
0.7130737,0.9193726,1
0.675415,0.7710876,1
0.6079102,0.8034668,1
0.5864258,0.8438721,1
0.7346802,0.7845459,1
0.7724609,0.5850525,1
0.699585,0.4286804,1
0.6861572,0.5634766,1
0.6402588,0.8115234,1
0.7427979,0.2911987,1
0.7912598,0.1617432,1
0.90448,0.2291565,1
0.8991089,0.5392151,1
0.8856201,0.3909302,1
0.8748779,0.2453308,1
0.6672363,0.2372742,1
0.5432129,0.256134,1
0.5270996,0.1240234,1
0.4515381,0.06469727,1
0.2116699,0.0512085,1
0.2196655,0.1671448,1
-0.06072998,0.002655029,1
-0.2467651,0.1563416,1
-0.2817383,0.1374817,1
-0.2764282,-0.01080322,1
-0.192749,-0.08630371,1
-0.368042,-0.2319031,1
-0.2872314,-0.2696533,1
-0.05535889,-0.2750244,1
0.090271,-0.256134,1
0.1576538,-0.2669373,1
0.2358398,-0.1321106,1
0.1199341,-0.1294556,1
0.03369141,-0.1024475,1
0.4703979,-0.1617737,1
0.2520752,-0.05932617,1
0.397644,0.0161438,1
0.4434814,-0.02966309,1
0.5379028,0.02154541,1
0.5647583,-0.09439087,1
0.6025391,-0.008117676,1
0.645752,-0.01620483,1
0.6968994,-0.1186523,1
0.5864258,-0.1941528,1
0.6968994,-0.2669373,1
0.7615967,-0.2696533,1
0.8370972,-0.07281494,1
0.729248,0.102417,1
0.7966309,0.0161438,1
0.8964233,0.04043579,1
0.5513306,0.09436035,1
0.4407349,0.1994934,1
0.5620728,0.434082,1
0.5324097,0.4934082,1
0.4030151,0.5041504,1
0.319519,0.6578369,1
0.2817383,0.7198792,1
0.5809937,0.7387085,1
0.7885742,0.6956177,1
0.8505859,0.7521973,1
0.8614502,0.8951111,1
0.8479004,0.9382324,1
0.5027466,0.9355469,1
0.4381104,0.8546448,1
0.168457,0.7198792,1
-0.04992676,0.6551819,1
-0.1362305,0.5850525,1
-0.2844849,0.7360229,1
-0.5514526,0.7333374,1
-0.572998,0.6929016,1
-0.1982422,0.2965698,1
-0.2171021,0.1320801,1
-0.0769043,0.09436035,1
-0.03369141,0.1213074,1
-0.3519287,0.07546997,1
-0.5675659,0.03771973,1
-0.494812,0.04312134,1
-0.5621948,-0.06472778,1
-0.7752075,-0.06744385,1
-0.7832642,-0.1483154,1
-0.5082397,-0.1833801,1
-0.3330688,-0.2103271,1
-0.1847534,-0.4502869,1
-0.1685791,-0.5014954,1
-0.03369141,-0.4395142,1
0.2358398,-0.2993164,1
0.367981,-0.2426758,1
0.4030151,-0.2184143,1
0.3059692,-0.2857971,1
0.2520752,-0.4907227,1
0.1253052,-0.47995,1
0.3760376,-0.6201172,1
0.3059692,-0.7819214,1
0.524353,-0.7306824,1
0.5756226,-0.7872925,1
0.6537476,-0.8169556,1
0.723938,-0.916687,1
0.7589111,-0.9733582,1
0.7940063,-0.9490967,1
0.8155518,-0.8439331,1
0.8047485,-0.8061829,1
0.7427979,-0.7414856,1
0.8533325,-0.7954102,1
0.9368896,-0.9032593,1
0.8317871,-0.6336365,1
0.7993774,-0.736084,1
0.6888428,-0.6659851,1
0.6402588,-0.6336365,1
0.8505859,-0.5661926,1
0.8614502,-0.482605,1
0.7400513,-0.4286804,1
0.7508545,-0.47995,1
0.8533325,-0.1995544,1
0.7319336,-0.609375,1
0.4596558,-0.8196716,1
0.446167,-0.916687,1
0.597229,-0.9194336,1
0.2681885,-0.8547058,1
0.090271,-0.9248047,1
0.192749,-0.9625549,1
0.1279907,-0.9113159,1
0.1468506,-0.7468567,1
0.192749,-0.7603455,1
0.168457,-0.7225952,1
-0.00402832,-0.7064209,1
-0.02563477,-0.7549744,1
0.1523438,-0.560791,1
0.192749,-0.5419312,1
-0.02838135,-0.5419312,1
-0.08770752,-0.560791,1
-0.1281128,-0.6309509,1
-0.06878662,-0.7954102,1
-0.1847534,-0.8762512,1
-0.2872314,-0.8816528,1
-0.2036133,-0.8061829,1
-0.09576416,-0.7495728,1
-0.1038208,-0.8870544,1
-0.2224121,-0.8897705,1
-0.4112549,-0.9086304,1
-0.4894409,-0.916687,1
-0.5918579,-0.9086304,1
-0.7078247,-0.9248047,1
-0.9073486,-0.8951721,1
-0.9639282,-0.8519897,1
-0.9503784,-0.8007813,1
-0.5514526,-0.9301758,1
-0.5162964,-0.8709106,1
-0.3034058,-0.7684021,1
-0.3599243,-0.6686707,0
-0.2197876,-0.6983337,1
-0.4192505,-0.9760437,1
-0.1497192,-0.9275208,1
0.09832764,-0.6632996,1
0.2520752,-0.4475708,1
0.3005981,-0.3613281,1
-0.5783691,-0.5715942,0
-0.4301147,-0.4988098,0
-0.3815918,-0.4880066,0
-0.5379028,-0.609375,0
-0.5811157,-0.6066589,0
-0.6970215,-0.4718628,0
-0.6134644,-0.3828735,0
-0.7023926,-0.5365295,0
-0.802124,-0.7037048,0
-0.6619873,-0.7684021,0
-0.5783691,-0.7792358,0
-0.7427979,-0.6848145,0
-0.4894409,-0.4961243,0
-0.5756226,-0.4772339,0
-0.6403809,-0.47995,0
0.04174805,0.2695923,0
0.07141113,0.280365,0
0.2116699,0.3100281,0
0.1172485,0.4151917,0
0.1279907,0.4475403,0
0.04449463,0.4475403,0
-0.6700439,0.7926331,0
-0.802124,0.7953491,0
-0.8829956,0.7225342,0
-0.8210449,0.660553,0
-0.6619873,0.8277283,0
-0.8075562,0.9301453,0
-0.9018555,0.9031982,0
-0.9207153,0.8681641,0
-0.928894,0.8115234,0
-0.9477539,0.96521,0
0.5162964,-0.509613,0
0.5162964,-0.5473633,0
0.6699219,-0.558136,0
0.6349487,-0.5338745,0
0.5864258,-0.5635376,0
0.4515381,-0.5797119,0
0.3625488,-0.509613,0
0.3410645,-0.4583435,0
0.3949585,-0.3666992,0
0.3841553,-0.4448853,0
0.4057007,-0.4853516,0
0.4542236,-0.5122681,0
